gene_name,ensg_id,enst_id,uniprot_id,protein_name,hek_rna_tpm,hek_protein_conc_nm,hek_protein_copy_number
TRAV8-1,ENSG00000211782,ENST00000390430,A0A0A6YYK1,T cell receptor alpha variable 8-1,0.0,,
TRAV8-2,ENSG00000211786,ENST00000390434,A0A0B4J237,T cell receptor alpha variable 8-2,0.58822,,
TRAV8-3,ENSG00000211787,ENST00000390435,A0A0A6YYJ7,T cell receptor alpha variable 8-3,0.191422,,
TRAV8-4,ENSG00000211790,ENST00000390438,P01737,T cell receptor alpha variable 8-4 ,0.0,,
TRAV8-6,ENSG00000211795,ENST00000390443,A0A0B4J262,T cell receptor alpha variable 8-6,0.118029,,
TRAV9-1,ENSG00000211783,ENST00000390431,A0A075B6T8,T cell receptor alpha variable 9-1,0.0,,
TRAV9-2,ENSG00000211793,ENST00000390441,A0A087WT02,T cell receptor alpha variable 9-2,0.0,,
TRBJ1-1,ENSG00000282320,ENST00000632951,A0A0J9YXA8,T cell receptor beta joining 1-1,0.0,,
TRBV10-1,ENSG00000211717,ENST00000390364,A0A0K0K1A3,T cell receptor beta variable 10-1,0.0,,
TRBV10-2,ENSG00000229769,ENST00000426318,A0A0K0K1G8,T cell receptor beta variable 10-2,0.0,,
TRBV10-3,ENSG00000275791,ENST00000611462,A0A0K0K1G6,T cell receptor beta variable 10-3,0.0,,
TRBV11-1,ENSG00000211720,ENST00000390367,A0A0K0K1C0,T cell receptor beta variable 11-1,0.0,,
TRBV11-3,ENSG00000276597,ENST00000611787,A0A5A6,T cell receptor beta variable 11-3,0.0,,
TRBV12-3,ENSG00000274752,ENST00000620569,P01733,T cell receptor beta variable 12-3 ,0.0,,
TRBV12-4,ENSG00000276953,ENST00000617347,A0A0B4J2E0,T cell receptor beta variable 12-4,0.0,,
TRBV12-5,ENSG00000275158,ENST00000621184,A0A1B0GX78,T cell receptor beta variable 12-5,0.0,,
TRBV13,ENSG00000276405,ENST00000614171,A0A0A6YYD4,T cell receptor beta variable 13,0.0,,
TRBV14,ENSG00000275743,ENST00000617639,A0A5B0,T cell receptor beta variable 14,0.0,,
TRBV16,ENSG00000275243,ENST00000620773,A0A087WV62,T cell receptor beta variable 16,0.0,,
TRBV18,ENSG00000276557,ENST00000611520,A0A087X0M5,T cell receptor beta variable 18,0.0,,
TRBV19,ENSG00000211746,ENST00000390393,A0A075B6N1,T cell receptor beta variable 19,0.0,,
TRBV2,ENSG00000226660,ENST00000455382,A0A1B0GX68,T cell receptor beta variable 2,0.0,,
TRBV20-1,ENSG00000211747,ENST00000390394,A0A075B6N2,T cell receptor beta variable 20-1,0.067086,,
TRBV24-1,ENSG00000211750,ENST00000390397,A0A075B6N3,T cell receptor beta variable 24-1,0.0,,
TRBV25-1,ENSG00000282499,ENST00000390398,A0A075B6N4,T cell receptor beta variable 25-1,0.0,,
TRBV27,ENSG00000211752,ENST00000390399,A0A0K0K1C4,T cell receptor beta variable 27,0.0,,
TRBV28,ENSG00000211753,ENST00000390400,A0A5B6,T cell receptor beta variable 28,0.0,,
TRBV29-1,ENSG00000232869,ENST00000422143,A0A5B7,T cell receptor beta variable 29-1,0.0,,
TRBV3-1,ENSG00000237702,ENST00000390387,A0A576,T cell receptor beta variable 3-1,0.0,,
TRBV30,ENSG00000237254,ENST00000417977,A0A0K0K1B3,T cell receptor beta variable 30,0.0,,
TRBV4-1,ENSG00000211710,ENST00000390357,A0A577,T cell receptor beta variable 4-1,0.0,,
TRBV4-2,ENSG00000211745,ENST00000390392,A0A539,T cell receptor beta variable 4-2,0.0,,
TRBV5-1,ENSG00000211734,ENST00000390381,A0A578,T cell receptor beta variable 5-1,0.0,,
TRBV5-4,ENSG00000230099,ENST00000454561,A0A0C4DH59,T cell receptor beta variable 5-4,0.0,,
TRBV5-5,ENSG00000211725,ENST00000390372,A0A597,T cell receptor beta variable 5-5,0.0,,
TRBV5-6,ENSG00000211728,ENST00000390375,A0A599,T cell receptor beta variable 5-6,0.0,,
TRBV6-1,ENSG00000211706,ENST00000390353,A0A0K0K1D8,T cell receptor beta variable 6-1,0.0,,
TRBV6-2,ENSG00000282719,ENST00000632016,A0A0J9YXY3,T cell receptor beta variable 6-2,0.0,,
TRBV6-4,ENSG00000211713,ENST00000390360,A0A1B0GX49,T cell receptor beta variable 6-4,0.0,,
TRBV6-5,ENSG00000211721,ENST00000390368,A0A0K0K1A5,T cell receptor beta variable 6-5,0.0,,
TRBV6-6,ENSG00000211724,ENST00000390371,A0A0A6YYG2,T cell receptor beta variable 6-6,0.0,,
TRBV6-8,ENSG00000253534,ENST00000390376,A0A0A6YYG3,T cell receptor beta variable 6-8,0.0,,
TRBV7-2,ENSG00000282506,ENST00000631392,A0A1B0GXF2,T cell receptor beta variable 7-2,0.0,,
TRBV7-4,ENSG00000253409,ENST00000390369,A0A1B0GX95,T cell receptor beta variable 7-4,0.0,,
TRBV7-6,ENSG00000211727,ENST00000390374,A0A1B0GX31,T cell receptor beta variable 7-6,0.0,,
TRBV7-7,ENSG00000253291,ENST00000390377,A0A0K0K1E9,T cell receptor beta variable 7-7,0.0,,
TRBV7-9,ENSG00000278030,ENST00000612787,P04435,T cell receptor beta variable 7-9,0.0,,
TRBV9,ENSG00000211716,ENST00000390363,A0A0B4J1U6,T cell receptor beta variable 9,0.0,,
TRDMT1,ENSG00000107614,ENST00000377799,O14717,tRNA ,7.778549,38.6088163,23242.5074126
TRDN,ENSG00000186439,ENST00000334268,Q13061,Triadin,0.014541067,,
TREH,ENSG00000118094,ENST00000264029,O43280,Trehalase ,0.005488567,,
TREM1,ENSG00000124731,ENST00000244709,Q9NP99,Triggering receptor expressed on myeloid cells 1 ,0.0,,
TREM2,ENSG00000095970,ENST00000338469,Q9NZC2,Triggering receptor expressed on myeloid cells 2 ,0.0,,
TREML1,ENSG00000161911,ENST00000373127,Q86YW5,Trem-like transcript 1 protein ,0.0,,
TREML2,ENSG00000112195,ENST00000483722,Q5T2D2,Trem-like transcript 2 protein ,0.0044992,,
TREML4,ENSG00000188056,ENST00000341495,Q6UXN2,Trem-like transcript 4 protein ,0.033057567,,
TRERF1,ENSG00000124496,ENST00000340840,Q96PN7,Transcriptional-regulating factor 1 ,2.520644333,3.227354931,1942.867668462
TREX1,ENSG00000213689,ENST00000444177,Q9NSU2,Three-prime repair exonuclease 1 ,0.0,,
TREX2,ENSG00000183479,ENST00000370231,Q9BQ50,Three prime repair exonuclease 2 ,4.377028,,
TRGV3,ENSG00000211699,ENST00000390346,P03979,T cell receptor gamma variable 3 ,0.213257667,,
TRH,ENSG00000170893,ENST00000302649,P20396,Pro-thyrotropin-releasing hormone ,0.0,,
TRHDE,ENSG00000072657,ENST00000261180,Q9UKU6,Thyrotropin-releasing hormone-degrading ectoenzyme ,0.348778867,,
TRHR,ENSG00000174417,ENST00000311762,P34981,Thyrotropin-releasing hormone receptor ,0.0,,
TRIAP1,ENSG00000170855,ENST00000546954,O43715,TP53-regulated inhibitor of apoptosis 1 ,71.06362333,323.642598,194832.843996
TRIB1,ENSG00000173334,ENST00000311922,Q96RU8,Tribbles homolog 1 ,13.15401513,,
TRIB2,ENSG00000071575,ENST00000155926,Q92519,Tribbles homolog 2 ,7.452404667,,
TRIB3,ENSG00000101255,ENST00000217233,Q96RU7,Tribbles homolog 3 ,14.58087783,0.515326742,310.226698684
TRIL,ENSG00000255690,ENST00000539664,Q7L0X0,TLR4 interactor with leucine rich repeats ,0.050115633,,
TRIM10,ENSG00000204613,ENST00000376704,Q9UDY6,Tripartite motif-containing protein 10 ,0.004965417,,
TRIM11,ENSG00000154370,ENST00000284551,Q96F44,E3 ubiquitin-protein ligase TRIM11 ,69.94288367,59.03379577,35538.34505354
TRIM13,ENSG00000204977,ENST00000457662,O60858,E3 ubiquitin-protein ligase TRIM13 ,19.42869533,14.46604593,8708.55964986
TRIM14,ENSG00000106785,ENST00000341469,Q14142,Tripartite motif-containing protein 14,19.338586,9.304746298,5601.457271396
TRIM15,ENSG00000137384,ENST00000259930,Q9C019,Tripartite motif-containing protein 15 ,0.0,,
TRIM16,ENSG00000221926,ENST00000336708,O95361,Tripartite motif-containing protein 16 ,19.9700547,,
TRIM16L,ENSG00000108448,ENST00000395671,Q309B1,Tripartite motif-containing protein 16-like protein ,12.91124494,,
TRIM17,ENSG00000162931,ENST00000456946,Q9Y577,E3 ubiquitin-protein ligase TRIM17 ,0.642133954,,
TRIM2,ENSG00000109654,ENST00000338700,Q9C040,Tripartite motif-containing protein 2 ,20.428998,22.48165951,13533.95902502
TRIM21,ENSG00000132109,ENST00000254436,P19474,E3 ubiquitin-protein ligase TRIM21 ,5.776603333,19.77615151,11905.243209019998
TRIM22,ENSG00000132274,ENST00000379965,Q8IYM9,E3 ubiquitin-protein ligase TRIM22 ,1.170485,,
TRIM23,ENSG00000113595,ENST00000231524,P36406,E3 ubiquitin-protein ligase TRIM23 ,14.13607194,13.84907933,8337.14575666
TRIM24,ENSG00000122779,ENST00000415680,O15164,Transcription intermediary factor 1-alpha ,35.24833033,142.595984,85842.78236799999
TRIM25,ENSG00000121060,ENST00000316881,Q14258,E3 ubiquitin/ISG15 ligase TRIM25 ,32.779696,473.2180588,284877.2713976
TRIM26,ENSG00000231641,ENST00000425831,Q12899,Tripartite motif-containing protein 26 ,41.78778748,109.4597955,65894.796891
TRIM27,ENSG00000229006,ENST00000431123,P14373,Zinc finger protein RFP ,129.4465572,157.7503451,94965.7077502
TRIM28,ENSG00000130726,ENST00000253024,Q13263,Transcription intermediary factor 1-beta ,538.423027,3816.857885,2297748.44677
TRIM29,ENSG00000137699,ENST00000341846,Q14134,Tripartite motif-containing protein 29 ,0.024635767,,
TRIM3,ENSG00000110171,ENST00000345851,O75382,Tripartite motif-containing protein 3 ,14.33982386,23.38618647,14078.484254939998
TRIM31,ENSG00000137397,ENST00000357569,Q9BZY9,E3 ubiquitin-protein ligase TRIM31 ,0.1738222,,
TRIM32,ENSG00000119401,ENST00000450136,Q13049,E3 ubiquitin-protein ligase TRIM32 ,13.04292867,38.46361067,23155.093623340003
TRIM33,ENSG00000197323,ENST00000358465,Q9UPN9,E3 ubiquitin-protein ligase TRIM33 ,33.65515,252.1148651,151773.1487902
TRIM34,ENSG00000258659,ENST00000514226,Q9BYJ4,Tripartite motif-containing protein 34 ,0.261464267,,
TRIM35,ENSG00000104228,ENST00000305364,Q9UPQ4,E3 ubiquitin-protein ligase TRIM35 ,9.606847333,3.194262511,1922.946031622
TRIM36,ENSG00000152503,ENST00000513154,Q9NQ86,E3 ubiquitin-protein ligase TRIM36 ,4.081295367,3.295911705,1984.13884641
TRIM37,ENSG00000108395,ENST00000262294,O94972,E3 ubiquitin-protein ligase TRIM37 ,38.80074267,13.26267333,7984.12934466
TRIM38,ENSG00000112343,ENST00000357085,O00635,E3 ubiquitin-protein ligase TRIM38 ,1.18729,5.316848436,3200.742758472
TRIM39,ENSG00000204599,ENST00000396551,Q9HCM9,E3 ubiquitin-protein ligase TRIM39 ,15.62913205,3.302455847,1988.078419894
TRIM4,ENSG00000146833,ENST00000349062,Q9C037,E3 ubiquitin-protein ligase TRIM4 ,17.28570633,41.43027131,24941.023328620002
TRIM40,ENSG00000204614,ENST00000307859,Q6P9F5,E3 ubiquitin ligase TRIM40 ,0.0,,
TRIM41,ENSG00000146063,ENST00000315073,Q8WV44,E3 ubiquitin-protein ligase TRIM41 ,41.80157445,23.40929053,14092.39289906
TRIM42,ENSG00000155890,ENST00000286349,Q8IWZ5,Tripartite motif-containing protein 42,0.0,,
TRIM43,ENSG00000144015,ENST00000272395,Q96BQ3,Tripartite motif-containing protein 43,0.009559499,,
TRIM43B,ENSG00000144010,ENST00000639673,A6NCK2,Tripartite motif-containing protein 43B,0.0095343,,
TRIM44,ENSG00000166326,ENST00000299413,Q96DX7,Tripartite motif-containing protein 44 ,18.79912333,16.59220313,9988.50628426
TRIM45,ENSG00000134253,ENST00000256649,Q9H8W5,Tripartite motif-containing protein 45 ,7.517496,1.429766738,860.7195762760001
TRIM46,ENSG00000163462,ENST00000334634,Q7Z4K8,Tripartite motif-containing protein 46 ,2.09420585,0.952052065,573.13534313
TRIM47,ENSG00000132481,ENST00000254816,Q96LD4,E3 ubiquitin-protein ligase TRIM47 ,5.4309276,21.16195562,12739.49728324
TRIM48,ENSG00000150244,ENST00000417545,Q8IWZ4,Tripartite motif-containing protein 48 ,0.0,,
TRIM49,ENSG00000168930,ENST00000329758,P0CI25,Tripartite motif-containing protein 49 ,0.0,,
TRIM49B,ENSG00000182053,ENST00000332682,A6NDI0,Putative tripartite motif-containing protein 49B ,0.0,,
TRIM49C,ENSG00000204449,ENST00000448984,P0CI26,Tripartite motif-containing protein 49C ,0.0,,
TRIM49D1,ENSG00000233802,ENST00000526396,C9J1S8,Tripartite motif-containing protein 49D ,0.0,,
TRIM5,ENSG00000132256,ENST00000380034,Q9C035,Tripartite motif-containing protein 5 ,4.343125714,16.8805347,10162.081889399999
TRIM50,ENSG00000146755,ENST00000453152,Q86XT4,E3 ubiquitin-protein ligase TRIM50 ,0.0575915,,
TRIM51,ENSG00000124900,ENST00000244891,Q9BSJ1,Tripartite motif-containing protein 51 ,0.0,,
TRIM52,ENSG00000183718,ENST00000611618,Q96A61,E3 ubiquitin-protein ligase TRIM52 ,13.72847093,,
TRIM54,ENSG00000138100,ENST00000380075,Q9BYV2,Tripartite motif-containing protein 54 ,0.136693933,,
TRIM55,ENSG00000147573,ENST00000276573,Q9BYV6,Tripartite motif-containing protein 55 ,0.0160752,,
TRIM56,ENSG00000169871,ENST00000306085,Q9BRZ2,E3 ubiquitin-protein ligase TRIM56 ,4.640362333,13.05206275,7857.341775499999
TRIM58,ENSG00000162722,ENST00000366481,Q8NG06,E3 ubiquitin-protein ligase TRIM58 ,0.292922333,,
TRIM59,ENSG00000213186,ENST00000309784,Q8IWR1,Tripartite motif-containing protein 59 ,19.05161167,,
TRIM6,ENSG00000121236,ENST00000278302,Q9C030,Tripartite motif-containing protein 6 ,7.018031,2.950414703,1776.1496512059998
TRIM60,ENSG00000176979,ENST00000341062,Q495X7,Tripartite motif-containing protein 60 ,0.0,,
TRIM61,ENSG00000183439,ENST00000329314,Q5EBN2,Putative tripartite motif-containing protein 61 ,0.522145333,,
TRIM62,ENSG00000116525,ENST00000291416,Q9BVG3,E3 ubiquitin-protein ligase TRIM62 ,15.17505233,7.070603482,4256.503296164
TRIM63,ENSG00000158022,ENST00000374272,Q969Q1,E3 ubiquitin-protein ligase TRIM63 ,0.0,,
TRIM64,ENSG00000204450,ENST00000533122,A6NGJ6,Tripartite motif-containing protein 64,0.0,,
TRIM64B,ENSG00000189253,ENST00000329862,A6NI03,Putative tripartite motif-containing protein 64B,0.0,,
TRIM64C,ENSG00000214891,ENST00000617704,A6NLI5,Tripartite motif-containing protein 64C,0.0,,
TRIM65,ENSG00000141569,ENST00000269383,Q6PJ69,Tripartite motif-containing protein 65,65.838645,149.0389245,89721.432549
TRIM66,ENSG00000166436,ENST00000299550,O15016,Tripartite motif-containing protein 66,6.73063275,,
TRIM67,ENSG00000119283,ENST00000449018,Q6ZTA4,Tripartite motif-containing protein 67 ,0.029302757,,
TRIM68,ENSG00000167333,ENST00000300747,Q6AZZ1,E3 ubiquitin-protein ligase TRIM68 ,8.424453,6.006553729,3615.945344858
TRIM69,ENSG00000185880,ENST00000558329,Q86WT6,E3 ubiquitin-protein ligase TRIM69 ,4.766876742,,
TRIM7,ENSG00000146054,ENST00000334421,Q9C029,E3 ubiquitin-protein ligase TRIM7 ,4.821971315,0.926359018,557.6681288359999
TRIM71,ENSG00000206557,ENST00000383763,Q2Q1W2,E3 ubiquitin-protein ligase TRIM71 ,3.3494,8.476221279,5102.685209958
TRIM72,ENSG00000177238,ENST00000322122,Q6ZMU5,Tripartite motif-containing protein 72 ,0.244032667,,
TRIM73,ENSG00000178809,ENST00000323819,Q86UV7,Tripartite motif-containing protein 73 ,5.034595,,
TRIM74,ENSG00000155428,ENST00000285805,Q86UV6,Tripartite motif-containing protein 74 ,0.620996,,
TRIM75P,ENSG00000250374,ENST00000503032,A6NK02,Putative tripartite motif-containing protein 75 ,0.0,,
TRIM77,ENSG00000214414,ENST00000398290,I1YAP6,Tripartite motif-containing protein 77,0.0,,
TRIM8,ENSG00000171206,ENST00000643721,Q9BZR9,E3 ubiquitin-protein ligase TRIM8 ,27.48550597,2.466560193,1484.8692361859999
TRIM9,ENSG00000100505,ENST00000298355,Q9C026,E3 ubiquitin-protein ligase TRIM9 ,8.260429,19.60061575,11799.5706815
TRIML1,ENSG00000184108,ENST00000332517,Q8N9V2,Probable E3 ubiquitin-protein ligase TRIML1 ,0.0,,
TRIML2,ENSG00000179046,ENST00000512729,Q8N7C3,Probable E3 ubiquitin-protein ligase TRIML2 ,0.675692633,,
TRIO,ENSG00000038382,ENST00000344204,O75962,Triple functional domain protein ,25.8605469,26.35515887,15865.80563974
TRIOBP,ENSG00000100106,ENST00000403663,Q9H2D6,TRIO and F-actin-binding protein ,21.87031428,32.73830287,19708.458327739998
TRIP10,ENSG00000125733,ENST00000313285,Q15642,Cdc42-interacting protein 4 ,35.36347933,151.7622878,91360.8972556
TRIP11,ENSG00000100815,ENST00000267622,Q15643,Thyroid receptor-interacting protein 11 ,18.94610833,81.73505597,49204.50369394
TRIP12,ENSG00000153827,ENST00000389045,Q14669,E3 ubiquitin-protein ligase TRIP12 ,111.715998,185.6315068,111750.1670936
TRIP13,ENSG00000071539,ENST00000166345,Q15645,Pachytene checkpoint protein 2 homolog ,63.272664,474.6280082,285726.0609364
TRIP4,ENSG00000103671,ENST00000261884,Q15650,Activating signal cointegrator 1 ,13.308553,148.6557025,89490.732905
TRIP6,ENSG00000087077,ENST00000200457,Q15654,Thyroid receptor-interacting protein 6 ,56.98353367,382.7078655,230390.135031
TRIQK,ENSG00000205133,ENST00000521988,Q629K1,Triple QxxK/R motif-containing protein ,9.469176863,,
TRIR,ENSG00000123144,ENST00000242784,Q9BQ61,Telomerase RNA component interacting RNase ,261.7815377,1231.095394,741119.427188
TRIT1,ENSG00000043514,ENST00000316891,Q9H3H1,tRNA dimethylallyltransferase ,23.80661367,49.0090984,29503.4772368
TRMO,ENSG00000136932,ENST00000375119,Q9BU70,tRNA ,14.1249663,9.353040818,5630.5305724360005
TRMT1,ENSG00000104907,ENST00000357720,Q9NXH9,tRNA ,76.87159467,256.6768732,154519.4776664
TRMT10A,ENSG00000145331,ENST00000394876,Q8TBZ6,tRNA methyltransferase 10 homolog A ,19.79426633,103.5062176,62310.7429952
TRMT10B,ENSG00000165275,ENST00000297994,Q6PF06,tRNA methyltransferase 10 homolog B ,10.30050067,2.606344594,1569.0194455879998
TRMT10C,ENSG00000174173,ENST00000309922,Q7L0Y3,tRNA methyltransferase 10 homolog C ,85.59240333,983.9100821,592313.8694241999
TRMT11,ENSG00000066651,ENST00000334379,Q7Z4G4,tRNA ,30.24076967,175.6611512,105748.0130224
TRMT112,ENSG00000173113,ENST00000308774,Q9UI30,Multifunctional methyltransferase subunit TRM112-like protein ,455.2363033,1751.707337,1054527.816874
TRMT12,ENSG00000183665,ENST00000328599,Q53H54,tRNA wybutosine-synthesizing protein 2 homolog ,22.36849333,36.81114749,22160.31078898
TRMT13,ENSG00000122435,ENST00000370141,Q9NUP7,tRNA:m(4)X modification enzyme TRM13 homolog ,36.545838,76.89874802,46293.04630804
TRMT1L,ENSG00000121486,ENST00000367506,Q7Z2T5,TRMT1-like protein ,23.973971,395.4993855,238090.63007100002
TRMT2A,ENSG00000099899,ENST00000252136,Q8IZ69,tRNA ,113.8483757,140.3205337,84472.9612874
TRMT2B,ENSG00000188917,ENST00000545398,Q96GJ1,tRNA ,18.52044767,12.18263104,7333.94388608
TRMT44,ENSG00000155275,ENST00000389737,Q8IYL2,Probable tRNA ,20.61686157,14.07973185,8475.9985737
TRMT5,ENSG00000126814,ENST00000261249,Q32P41,tRNA ,21.64743,116.3505867,70043.0531934
TRMT6,ENSG00000089195,ENST00000203001,Q9UJA5,tRNA ,38.139212,546.5580405,329027.940381
TRMT61A,ENSG00000166166,ENST00000389749,Q96FX7,tRNA ,19.739036,384.2673337,231328.93488739998
TRMT61B,ENSG00000171103,ENST00000306108,Q9BVS5,tRNA ,21.66631033,51.64230908,31088.670066159997
TRMT9B,ENSG00000250305,ENST00000528753,Q9P272,Probable tRNA methyltransferase 9B ,1.345703533,,
TRMU,ENSG00000100416,ENST00000645190,O75648,Mitochondrial tRNA-specific 2-thiouridylase 1 ,79.712738,73.77345343,44411.618964860005
TRNAU1AP,ENSG00000180098,ENST00000373830,Q9NX07,tRNA selenocysteine 1-associated protein 1 ,58.42134933,164.7281685,99166.357437
TRNP1,ENSG00000253368,ENST00000522111,Q6NT89,TMF-regulated nuclear protein 1,8.150196667,,
TRNT1,ENSG00000072756,ENST00000251607,Q96Q11,"CCA tRNA nucleotidyltransferase 1, mitochondrial ",24.95593067,106.1111389,63878.9056178
TRO,ENSG00000067445,ENST00000173898,Q12816,Trophinin ,26.14072567,14.8804281,8958.0177162
TROAP,ENSG00000135451,ENST00000548311,Q12815,Tastin ,81.06204947,10.22496868,6155.43114536
TRPA1,ENSG00000104321,ENST00000262209,O75762,Transient receptor potential cation channel subfamily A member 1 ,0.334105133,,
TRPC1,ENSG00000144935,ENST00000273482,P48995,Short transient receptor potential channel 1 ,9.601006,2.161153195,1301.0142233899999
TRPC3,ENSG00000138741,ENST00000379645,Q13507,Short transient receptor potential channel 3 ,1.378884233,,
TRPC4,ENSG00000133107,ENST00000379705,Q9UBN4,Short transient receptor potential channel 4 ,0.085995567,,
TRPC4AP,ENSG00000100991,ENST00000252015,Q8TEL6,Short transient receptor potential channel 4-associated protein ,51.83263,17.02569033,10249.46557866
TRPC5,ENSG00000072315,ENST00000262839,Q9UL62,Short transient receptor potential channel 5 ,0.0,,
TRPC5OS,ENSG00000204025,ENST00000371970,A6NMA1,Putative uncharacterized protein TRPC5OS ,0.0,,
TRPC6,ENSG00000137672,ENST00000344327,Q9Y210,Short transient receptor potential channel 6 ,0.300671857,,
TRPC7,ENSG00000069018,ENST00000352189,Q9HCX4,Short transient receptor potential channel 7 ,0.0,,
TRPM1,ENSG00000134160,ENST00000397795,Q7Z4N2,Transient receptor potential cation channel subfamily M member 1 ,0.018162667,,
TRPM2,ENSG00000142185,ENST00000300481,O94759,Transient receptor potential cation channel subfamily M member 2 ,0.031109864,,
TRPM3,ENSG00000083067,ENST00000377110,Q9HCF6,Transient receptor potential cation channel subfamily M member 3 ,0.147699069,,
TRPM4,ENSG00000130529,ENST00000252826,Q8TD43,Transient receptor potential cation channel subfamily M member 4 ,11.59028438,3.945266622,2375.050506444
TRPM5,ENSG00000070985,ENST00000155858,Q9NZQ8,Transient receptor potential cation channel subfamily M member 5 ,0.023145221,,
TRPM6,ENSG00000119121,ENST00000449912,Q9BX84,Transient receptor potential cation channel subfamily M member 6 ,0.784854237,,
TRPM7,ENSG00000092439,ENST00000313478,Q96QT4,Transient receptor potential cation channel subfamily M member 7 ,17.93091133,4.302246582,2589.952442364
TRPM8,ENSG00000144481,ENST00000324695,Q7Z2W7,Transient receptor potential cation channel subfamily M member 8 ,0.090786163,,
TRPS1,ENSG00000104447,ENST00000395715,Q9UHF7,Zinc finger transcription factor Trps1 ,5.611001697,22.56424133,13583.673280660001
TRPT1,ENSG00000149743,ENST00000317459,Q86TN4,tRNA 2'-phosphotransferase 1 ,23.0618034,69.3602408,41754.8649616
TRPV1,ENSG00000196689,ENST00000572705,Q8NER1,Transient receptor potential cation channel subfamily V member 1 ,5.066974667,,
TRPV2,ENSG00000187688,ENST00000338560,Q9Y5S1,Transient receptor potential cation channel subfamily V member 2 ,0.6464111,,
TRPV3,ENSG00000167723,ENST00000572519,Q8NET8,Transient receptor potential cation channel subfamily V member 3 ,0.544506105,,
TRPV4,ENSG00000111199,ENST00000261740,Q9HBA0,Transient receptor potential cation channel subfamily V member 4 ,1.558147367,,
TRPV5,ENSG00000127412,ENST00000442623,Q9NQA5,Transient receptor potential cation channel subfamily V member 5 ,0.007656067,,
TRPV6,ENSG00000276971,ENST00000638686,Q9H1D0,Transient receptor potential cation channel subfamily V member 6 ,0.005544923,,
TRRAP,ENSG00000196367,ENST00000355540,Q9Y4A5,Transformation/transcription domain-associated protein ,39.52775047,84.78132937,51038.360280739995
TRUB1,ENSG00000165832,ENST00000298746,Q8WWH5,Probable tRNA pseudouridine synthase 1 ,26.62940333,247.385635,148926.15227
TRUB2,ENSG00000167112,ENST00000372890,O95900,Mitochondrial mRNA pseudouridine synthase TRUB2 ,55.05959,42.98757278,25878.51881356
TSACC,ENSG00000163467,ENST00000368253,Q96A04,TSSK6-activating co-chaperone protein ,5.2895648,,
TSBP1,ENSG00000204296,ENST00000375015,Q5SRN2,Testis-expressed basic protein 1 ,0.0,,
TSC1,ENSG00000165699,ENST00000298552,Q92574,Hamartin ,19.14899876,52.95780709,31880.59986818
TSC2,ENSG00000103197,ENST00000401874,P49815,Tuberin ,79.58123454,76.98881588,46347.267159760006
TSC22D1,ENSG00000102804,ENST00000458659,Q15714,TSC22 domain family protein 1 ,33.12104257,337.4582086,203149.8415772
TSC22D2,ENSG00000196428,ENST00000361875,O75157,TSC22 domain family protein 2 ,19.1423348,85.04428328,51196.65853456
TSC22D3,ENSG00000157514,ENST00000372397,Q99576,TSC22 domain family protein 3 ,123.618269,84.99167687,51164.98947574
TSC22D4,ENSG00000166925,ENST00000300181,Q9Y3Q8,TSC22 domain family protein 4 ,22.03814673,42.51248862,25592.51814924
TSEN15,ENSG00000198860,ENST00000645668,Q8WW01,tRNA-splicing endonuclease subunit Sen15 ,48.03648695,676.5529845,407284.896669
TSEN2,ENSG00000154743,ENST00000402228,Q8NCE0,tRNA-splicing endonuclease subunit Sen2 ,35.874152,72.63234545,43724.6719609
TSEN34,ENSG00000170892,ENST00000396388,Q9BSV6,tRNA-splicing endonuclease subunit Sen34 ,84.55963323,200.7619671,120858.70419419999
TSEN54,ENSG00000182173,ENST00000333213,Q7Z6J9,tRNA-splicing endonuclease subunit Sen54 ,71.3927117,73.75010923,44397.565756460004
TSFM,ENSG00000123297,ENST00000323833,P43897,"Elongation factor Ts, mitochondrial ",84.12254017,649.0360465,390719.699993
TSG101,ENSG00000074319,ENST00000251968,Q99816,Tumor susceptibility gene 101 protein ,47.75485133,188.1712084,113279.06745680001
TSGA10,ENSG00000135951,ENST00000355053,Q9BZW7,Testis-specific gene 10 protein ,9.4211124,,
TSGA10IP,ENSG00000175513,ENST00000532620,Q3SY00,Testis-specific protein 10-interacting protein ,0.0357104,,
TSGA13,ENSG00000213265,ENST00000456951,Q96PP4,Testis-specific gene 13 protein,0.078372767,,
TSHB,ENSG00000134200,ENST00000256592,P01222,Thyrotropin subunit beta ,0.0,,
TSHR,ENSG00000165409,ENST00000342443,P16473,Thyrotropin receptor ,0.564483434,,
TSHZ1,ENSG00000179981,ENST00000322038,Q6ZSZ6,Teashirt homolog 1 ,10.09821813,4.761785144,2866.594656688
TSHZ2,ENSG00000182463,ENST00000371497,Q9NRE2,Teashirt homolog 2 ,1.288948333,0.231271122,139.22521544399999
TSHZ3,ENSG00000121297,ENST00000240587,Q63HK5,Teashirt homolog 3 ,4.211645667,9.376180081,5644.460408762
TSKS,ENSG00000126467,ENST00000246801,Q9UJT2,Testis-specific serine kinase substrate ,0.491696333,,
TSKU,ENSG00000182704,ENST00000333090,Q8WUA8,Tsukushi ,9.990346,6.27470942,3777.37507084
TSLP,ENSG00000145777,ENST00000379706,Q969D9,Thymic stromal lymphopoietin,1.461203333,,
TSN,ENSG00000211460,ENST00000389682,Q15631,Translin ,93.70134933,2555.243059,1538256.321518
