ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
8734	HSP90-IRF3-MAVS-TBK1-TOMM70 complex	Human	None	HEK293T cells	O94826;P07900;Q14653;Q7Z434;Q9UHD2	9868;3320;3661;57506;29110	MI:0019-coimmunoprecipitation	GO:0005741;GO:0016032;GO:0006915;GO:0140374	mitochondrial outer membrane;viral process;apoptotic process;antiviral innate immune response	70.16.01;40.10.02	mitochondrial outer membrane;apoptosis (type I programmed cell death)	20628368	The translocase of the outer mitochondrial membrane 70 (Tom70), a mitochondrial import receptor, was identified to interact with MAVS upon RNA virus infection. Ectopic expression or knockdown of Tom70 could enhance or impair IRF3-mediated gene expression, respectively. A transient formation of a stable signal complex on the mitochondrial outer membrane, including MAVS/Tom70/Hsp90/TBK1/IRF3, could be found. It is suggested that Tom70 is a novel component of the MAVS signalosome. The current study sheds new light on the evolutionary integration of mitochondria with antiviral innate immunity.	None	Since the authors did not specify HSP90, we used HSP90AA1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Mitochondrial import receptor subunit TOM70;Heat shock protein HSP 90-alpha;Interferon regulatory factor 3;Mitochondrial antiviral-signaling protein;Serine/threonine-protein kinase TBK1	TOMM70;HSP90AA1;IRF3;MAVS;TBK1	KIAA0719 TOM70 TOMM70A;HSP90A HSPC1 HSPCA;None;IPS1,KIAA1271,VISA;NAK
8735	R2TP complex	Human	PIH1D1-RPAP3-RUVBL1-RUVBL2 complex	human genes expressed in pLysS cells	Q9H6T3;Q9NWS0;Q9Y230;Q9Y265	79657;55011;10856;8607	MI:0096-pull down;MI:0040-electron microscopy	GO:0097255;GO:0065003;GO:0006457;GO:0009615;GO:0045069;GO:0019048	R2TP complex;protein-containing complex assembly;protein folding;response to virus;regulation of viral genome replication;modulation by virus of host process	14.01	protein folding and stabilization	29662061	R2TP complex functions with Hsp90 to facilitate assembly of protein complexes (PMID:31121004). In addition, the R2TP complex is a host factor that interacts with the mumps virus (MuV) L protein to regulate MuV RNA synthesis. This regulation is critical for MuV evasion of host innate immune responses to ensure its replication. (PMID:31121004)	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNA polymerase II-associated protein 3;PIH1 domain-containing protein 1;RuvB-like 2;RuvB-like 1	RPAP3;PIH1D1;RUVBL2;RUVBL1	None;NOP17;INO80J TIP48 TIP49B;INO80H NMP238 TIP49 TIP49A
8736	MAVS-TOMM70 complex	Human	None	HEK293T cells	O94826;Q7Z434	9868;57506	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0140374;GO:0005741;GO:0016032	antiviral innate immune response;mitochondrial outer membrane;viral process	70.16.01	mitochondrial outer membrane	20628368	Tom70 is found to interact specifically with MAVS during RNA virus infection. Tom70 plays an essential role in the antiviral response.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Mitochondrial import receptor subunit TOM70;Mitochondrial antiviral-signaling protein	TOMM70;MAVS	KIAA0719 TOM70 TOMM70A;IPS1,KIAA1271,VISA
8737	EFNB1-TUBB4B complex	Human	None	HSC-3 cells, SAS cells	P68371;P98172	10383;;1947	MI:0019-coimmunoprecipitation	GO:0072657	protein localization to membrane	None	None	35004310	None	Cancer stem cell (CSC) niche is a crucial factor modulating tumor progression and treatment outcomes. TUBB4B was found to be overexpressed in the membranes of stem cell enriched cultures. TUBB4B and Ephrin-B1 cohabit in the CSC niche. Ephrin-B1 is a signaling protein, the abrogation of which reduces the self-renewal of oral cancer stem cells. TUBB4B regulates the membrane localization of Ephrin-B1.	None	Homo sapiens (Human);Homo sapiens (Human)	Tubulin beta-4B chain;Ephrin-B1	TUBB4B;EFNB1	TUBB2C;EFL3 EPLG2 LERK2
8739	HSP90-TOMM70 complex	Human	HSP90-TOM70 complex	HEK293T cells	O94826;P07900	9868;3320	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0005741;GO:0016032;GO:0140374;GO:0002221;GO:0045087;GO:0051607;GO:0032481;GO:0019048	mitochondrial outer membrane;viral process;antiviral innate immune response;pattern recognition receptor signaling pathway;innate immune response;defense response to virus;positive regulation of type I interferon production;modulation by virus of host process	70.16.01;36.25.16.01	mitochondrial outer membrane;innate immune response (invertebrates and vertebrates)	20628368	Tom70 modulates IRF3-mediated antiviral responses. The direct interaction between Tom70 and Hsp90 is essential for IRF3 activation. The clamp domain (R192) of Tom70 interacts with the C-terminal motif (EEVD) of Hsp90, thus recruiting TBK1/IRF3 to mitochondria. Disruption of this interaction or mislocation of Tom70 sharply impairs activation of TBK1 and IRF3. Host antiviral responses are significantly boosted or crippled in the presence or absence of Tom70 (PMID:20628368). The interaction of TOM70 with HSP90 is essential for the induction of the antiviral interferon pathway. SARS-CoV-2 ORF9b protein binds TOM70 and forms a stable complex that prevents the interaction of TOM70 with Hsp90. This explains how SARS-CoV-2 can evade host immunity through the downregulation of IFN production in the host cell. (PMID:35643212)	None	Since the authors did not specify HSP90, we used HSP90AA1.	Homo sapiens (Human);Homo sapiens (Human)	Mitochondrial import receptor subunit TOM70;Heat shock protein HSP 90-alpha	TOMM70;HSP90AA1	KIAA0719 TOM70 TOMM70A;HSP90A HSPC1 HSPCA
8740	HSP90-IRF3-TBK1 complex	Human	None	HEK293T cells	P07900;Q14653;Q9UHD2	3320;3661;29110	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0140374;GO:0005741;GO:0016032	antiviral innate immune response;mitochondrial outer membrane;viral process	70.16.01	mitochondrial outer membrane	20628368	Tom70 recruits Hsp90/TBK1/IRF3 complex to mitochondria during viral infection.	None	Since the authors did not specify HSP90, we used HSP90AA1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Heat shock protein HSP 90-alpha;Interferon regulatory factor 3;Serine/threonine-protein kinase TBK1	HSP90AA1;IRF3;TBK1	HSP90A HSPC1 HSPCA;None;NAK
8741	HSP90-IRF3-TBK1-TOMM70 complex	Human	None	HEK293T cells	O94826;P07900;Q14653;Q9UHD2	9868;3320;3661;29110	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0140374;GO:0005741;GO:0016032	antiviral innate immune response;mitochondrial outer membrane;viral process	70.16.01	mitochondrial outer membrane	20628368	Tom70 recruits Hsp90/TBK1/IRF3 complex to mitochondria during viral infection. The translocase of the outer mitochondrial membrane 70 (Tom70), a mitochondrial import receptor, was identified to interact with MAVS upon RNA virus infection. Ectopic expression or knockdown of Tom70 could enhance or impair IRF3-mediated gene expression, respectively. A transient formation of a stable signal complex on the mitochondrial outer membrane, including MAVS/Tom70/Hsp90/TBK1/IRF3, could be found. It is suggested that Tom70 is a novel component of the MAVS signalosome. The current study sheds new light on the evolutionary integration of mitochondria with antiviral innate immunity.	None	Since the authors did not specify HSP90, we used HSP90AA1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Mitochondrial import receptor subunit TOM70;Heat shock protein HSP 90-alpha;Interferon regulatory factor 3;Serine/threonine-protein kinase TBK1	TOMM70;HSP90AA1;IRF3;TBK1	KIAA0719 TOM70 TOMM70A;HSP90A HSPC1 HSPCA;None;NAK
8742	CHUK-HSP90-IKBKB-TOMM70 complex	Human	HSP90-IKKA-IKKB-TOMM70 complex	HEK293T cells	O14920;O15111;O94826;P07900	3551;1147;9868;3320	MI:0019-coimmunoprecipitation	GO:0140374;GO:0005741;GO:0016032	antiviral innate immune response;mitochondrial outer membrane;viral process	70.16.01	mitochondrial outer membrane	20628368	It was found that Tom70 could immunoprecipitate IKK complex in the presence of Hsp90. Hsp90 binds strongly to and delivers IKK complex to Tom70, thus resulting in the activation of IKK and NF-kappaB.	None	Since the authors did not specify HSP90, we used HSP90AA1.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Inhibitor of nuclear factor kappa-B kinase subunit beta;Inhibitor of nuclear factor kappa-B kinase subunit alpha;Mitochondrial import receptor subunit TOM70;Heat shock protein HSP 90-alpha	IKBKB;CHUK;TOMM70;HSP90AA1	IKKB;IKKA TCF16;KIAA0719 TOM70 TOMM70A;HSP90A HSPC1 HSPCA
8743	PEX3-PEX19 complex	Human	None	immortalized WT human skin fibroblast cell line (GM5756-TI);  PEX19-deficient cell line (PBD39)	P40855;P56589	5824;;8504	MI:0416-fluorescence microscopy	GO:0036105;GO:0005778;GO:0005737	peroxisome membrane class-1 targeting sequence binding;peroxisomal membrane;cytoplasm	70.03	cytoplasm	15007061	PEX19 is a chaperone and import receptor for newly synthesized, class I peroxisomal membrane proteins (PMPs). PEX19 binds these PMPs in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisome membrane. PEX3 is required for PEX19 to dock at peroxisomes, interacts specifically with the docking domain of PEX19, and is required for recruitment of the PEX19 docking domain to peroxisomes. PEX3 is also sufficient to dock PEX19 at heterologous organelles and binds PEX19 via a conserved motif that is essential for this docking activity and for PEX3 function in general. PEX3 and PEX19 interact primarily at the surface of the peroxisome membrane.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Peroxisomal biogenesis factor 19;Peroxisomal biogenesis factor 3	PEX19;PEX3	HK33 PXF;None
8749	TRMT10A-FTO complex	Human	None	HEK293T cells	Q8TBZ6;Q9C0B1	93587;;79068;	MI:0019-coimmunoprecipitation;MI:0030-cross-linking study	GO:0030488;GO:0035552	tRNA methylation;oxidative single-stranded DNA demethylation	None	None	32213595	A tRNA methyltransferase, TRMT10A, interacts with an mRNA demethylase FTO (ALKBH9), both in vitro and inside cells. TRMT10A installs N 1-methylguanosine (m1G) in tRNA, and FTO performs demethylation on N 6-methyladenosine (m6A) and N 6,2'-O-dimethyladenosine (m6Am) in mRNA.This complex has a dual role: methylation of the ninth G on several tRNAs and demethylation of certain mRNAs through FTO. TRMT10A:FTO target mRNAs appeared to be enriched with codons corresponding to likely tRNA targets of TRMT10A. (PMID:33683402)	None	None	Homo sapiens (Human);Homo sapiens (Human)	tRNA methyltransferase 10 homolog A;Alpha-ketoglutarate-dependent dioxygenase FTO	TRMT10A;FTO	RG9MTD2;KIAA1752
8750	MICU1-USP2 complex	Human	None	HeLa cells	P55851;Q9BPX6	7351;;10367	MI:0019-coimmunoprecipitation	GO:0006851	mitochondrial calcium ion transmembrane transport	None	None	27642082	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	Mitochondrial uncoupling protein 2;Calcium uptake protein 1, mitochondrial	UCP2;MICU1	SLC25A8;CALC, CBARA1
8756	HEPH-SLC40A1 complex	Human	None	HEK293 cell	Q9BQS7;Q9NP59	9843;;None	MI:0055-fluorescent resonance energy transfer	GO:0034755	iron ion transmembrane transport	None	None	30647129	It was demonstrated that Fpn and Heph co-localize, and FRET analysis indicated that the two proteins form an iron-efflux complex.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Hephaestin;Solute carrier family 40 member 1	HEPH;SLC40A1	KIAA0698;FPN1 IREG1 SLC11A3
8757	MYCN-SP1-ZBTB17 complex	Human	MIZ1-MYCN-SP1 complex	HEK293 cells; SK-N-BE cells	P04198;P08047;Q13105	4613;;6667;None	MI:0019-coimmunoprecipitation;MI:0402-chromatin immunoprecipitation assay	GO:0045892;GO:0005634	negative regulation of DNA-templated transcription;nucleus	11.02.03.04.03;70.10	transcription repression;nucleus	21123453	The MYCN-SP1-ZBTB17 complex performs transcriptional repression of TRKA and p75NTR, two neurotrophin receptors.	The MYCN-SP1-ZBTB17 complex affects neuroblastoma malignancy by inhibiting the cell response to NGF.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	N-myc proto-oncogene protein;Transcription factor Sp1;Zinc finger and BTB domain-containing protein 17	MYCN;SP1;ZBTB17	BHLHE37 NMYC;TSFP1;MIZ1 ZNF151 ZNF60
8758	AURKA-MYCN complex	Human	None	SH-EP cells	O14965;P04198	6790;4613;	MI:0019-coimmunoprecipitation	GO:0006626;GO:0005634	protein targeting to mitochondrion;nucleus	70.10	nucleus	19111882	None	In human neuroblastoma, amplification of the MYCN gene predicts poor prognosis and resistance to therapy. Aurora A is a protein that binds to and stabilizes N-Myc.	None	Homo sapiens (Human);Homo sapiens (Human)	Aurora kinase A;N-myc proto-oncogene protein	AURKA;MYCN	AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6;BHLHE37 NMYC
8759	KDM1A-MYCN complex	Human	None	Tet-21/N cells	O60341;P04198	23028;4613;	MI:0019-coimmunoprecipitation	GO:0006355	regulation of DNA-templated transcription	11.02.03.04	transcriptional control	26062444	MYCN interacts with KDM1A (LSD1), a monoamine oxidase that function as master epigenetic regulator in neuroblastoma cell lines. The KDM1A-MYCN complex is involved either in activation or repression of MYCN target genes in neuroblastoma cell lines (PMID:27894074).	Neuroblastoma with MYCN amplification is a highly aggressive and metastatic tumor in children.	None	Homo sapiens (Human);Homo sapiens (Human)	Lysine-specific histone demethylase 1A;N-myc proto-oncogene protein	KDM1A;MYCN	AOF2 KDM1 KIAA0601 LSD1;BHLHE37 NMYC
8760	MAP2K1-WWOX complex	Human	MEK1-WWOX complex	Jurkat cells	Q02750;Q9NZC7	5604;51741	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0012501;GO:0005764	programmed cell death;lysosome	40.10.90;70.25	other programmed cell death;vacuole or lysosome	21901168	The MAP2K1-WWOX complex is a master on/off switch for apoptosis in leukemia T cells.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Dual specificity mitogen-activated protein kinase kinase 1;WW domain-containing oxidoreductase	MAP2K1;WWOX	MEK1 PRKMK1;FOR SDR41C1 WOX1
8761	HYAL2-WWOX complex	Human	None	THP-1 cells	Q12891;Q9NZC7	8692;;51741	MI:0019-coimmunoprecipitation	GO:0005634;GO:0008219	nucleus;cell death	70.10;40.10	nucleus;cell death	27845895	In traumatic brain injury-induced neuronal death, the HYAL2-WWOX complex was accumulated in the apoptotic nuclei of neurons in the rat brains in 24 hr post injury.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Hyaluronidase-2;WW domain-containing oxidoreductase	HYAL2;WWOX	LUCA2;FOR SDR41C1 WOX1
8762	HYAL2-SMAD3-WWOX complex	Human	None	SK-N-SH cells	P84022;Q12891;Q9NZC7	4088;8692;;51741	MI:0019-coimmunoprecipitation	None	None	None	None	27845895	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Mothers against decapentaplegic homolog 3;Hyaluronidase-2;WW domain-containing oxidoreductase	SMAD3;HYAL2;WWOX	MADH3;LUCA2;FOR SDR41C1 WOX1
8763	HYAL2-SMAD4-WWOX complex	Human	None	U937 cells	Q12891;Q13485;Q9NZC7	8692;;4089;51741	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0008219;GO:0045893;GO:0005634	cell death;positive regulation of DNA-templated transcription;nucleus	40.10;11.02.03.04.01;70.10	cell death;transcription activation;nucleus	27845895	In a non-canonical signaling, TGF-beta binds membrane hyaluronidase Hyal-2 for recruiting tumor suppressors WWOX and SMAD4, and the resulting HYAL2-SMAD4-WWOX complex is accumulated in the nucleus to enhance SMAD-promoter dependent transcriptional activity.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Hyaluronidase-2;Mothers against decapentaplegic homolog 4;WW domain-containing oxidoreductase	HYAL2;SMAD4;WWOX	LUCA2;DPC4 MADH4;FOR SDR41C1 WOX1
8764	SMAD4-TP53-WWOX complex	Human	None	DU145 cells	P04637;Q13485;Q9NZC7	7157;4089;51741	MI:0055-fluorescent resonance energy transfer	None	None	None	None	27845895	Hyaluronan induces the signaling pathways for the SMAD4-TP53-WWOX complex, which causes membrane blebbing but without cell death.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Cellular tumor antigen p53;Mothers against decapentaplegic homolog 4;WW domain-containing oxidoreductase	TP53;SMAD4;WWOX	P53;DPC4 MADH4;FOR SDR41C1 WOX1
8765	mSin3A corepressor complex	Human	None	HeLa nuclear extract	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3	10284;8819;5928;3065;5931;3066;25942	MI:0004-affinity chromatography technology	GO:0051276;GO:0003677;GO:0006265;GO:0045892;GO:0005634;GO:0016575	chromosome organization;DNA binding;DNA topological change;negative regulation of DNA-templated transcription;nucleus;histone deacetylation	42.10.03;16.03.01;10.01.09.05;11.02.03.04.03;70.10	organization of chromosome structure;DNA binding;DNA conformation modification (e.g. chromatin);transcription repression;nucleus	9150135	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Histone deacetylase complex subunit SAP18;Histone deacetylase complex subunit SAP30;Histone-binding protein RBBP4;Histone deacetylase 1;Histone-binding protein RBBP7;Histone deacetylase 2;Paired amphipathic helix protein Sin3a	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A	None;None;RBAP48;RPD3L1;RBAP46;None;None
8766	NFKB1-RELA-UXT complex	Human	NF-kappaB-UXT complex	HEK293T cells	P19838;Q04206;Q9UBK9	4790;5970;8409;	MI:0019-coimmunoprecipitation;MI:0412-electrophoretic mobility supershift assay	GO:0005634;GO:0006355;GO:0006915	nucleus;regulation of DNA-templated transcription;apoptotic process	70.10;11.02.03.04;40.10.02	nucleus;transcriptional control;apoptosis (type I programmed cell death)	17620405	UXT forms a signal-dependent complex with NF-kappaB and is recruited to the NF-kappaB enhanceosome upon stimulation.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Nuclear factor NF-kappa-B p105 subunit;Transcription factor p65;Protein UXT	NFKB1;RELA;UXT	None;NFKB3;None
8767	BCLAF1-TET2 complex	Human	None	SW620 cells	Q6N021;Q9NYF8	54790;;9774;	MI:0007-anti tag coimmunoprecipitation;MI:0416-fluorescence microscopy;MI:0813-proximity ligation assay	GO:0005634;GO:0044030;GO:0006355	nucleus;regulation of DNA methylation;regulation of DNA-templated transcription	70.10;11.02.03.04	nucleus;transcriptional control	35660018	None	BCLAF1-TET2 transcription repression complex epigenetically regulates the expression of colorectal cancer gene ASCL2 via methylation of its promoter.	None	Homo sapiens (Human);Homo sapiens (Human)	Methylcytosine dioxygenase TET2;Bcl-2-associated transcription factor 1	TET2;BCLAF1	KIAA1546;BTF KIAA0164
8768	TNNC1-TNNI3-TNNT2 complex	Human	cardiac troponin complex	in vitro	P19429;P45379;P63316	7137;;7139;;7134;	MI:0226-ion exchange chromatography;MI:0071-molecular sieving	GO:0060047	heart contraction	None	None	11162386	Cardiac troponin (cTn), a phosphoprotein complex, consists of the tropomyosin binding subunit (cTnT), the inhibitory subunit (cTnI) and the calcium binding subunit (cTnC) and is the major regulatory protein complex of thin filaments.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Troponin I, cardiac muscle;Troponin T, cardiac muscle;Troponin C, slow skeletal and cardiac muscles	TNNI3;TNNT2;TNNC1	TNNC1;None;TNNC
8771	CRLF2-Il7R-TSLP complex	Human	Il7R-TSLP-TSLPR complex	HEK293 cells	P16871;Q969D9;Q9HC73	3575;85480;;64109;	MI:0114-x-ray crystallography	GO:0006954;GO:0007259	inflammatory response;receptor signaling pathway via JAK-STAT	36.25.16.07;30.01.05.01.01	inflammatory response;JAK-STAT cascade	28368013	TSLP is a central orchestrator of type 2 helper T cell (Th2) responses that initiate allergy and inflammation.	Formation of the ternary complex activates JAK1/2, which, through downstream pathways , induces the expression of Th2 cytokines including IL-4, IL-5, IL-9, and IL-13.	The assembly of the ternary complex is stepwise, as TSLP does not interact appreciably with Il7R until after it has bound TSLPR.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Interleukin-7 receptor subunit alpha;Thymic stromal lymphopoietin;Cytokine receptor-like factor 2	IL7R;TSLP;CRLF2	None;None;CRL2 ILXR TSLPR
8772	CLEC4M-VWF complex	Human	None	HEK293 cells	P04275;Q9H2X3	7450;10332;	MI:0416-fluorescence microscopy;MI:0411-enzyme linked immunosorbent assay	GO:0006897	endocytosis	20.09.18.09.01	endocytosis	23529928	von Willebrand factor (VWF) is a plasma glycoprotein that mediates platelet adhesion and aggregation and acts as the carrier protein for factor VIII (FVIII). CLEC4M functions as a VWF clearance receptor by binding VWF and facilitating its internalization and targeting to early endosomes.	None	None	Homo sapiens (Human);Homo sapiens (Human)	von Willebrand factor;C-type lectin domain family 4 member M	VWF;CLEC4M	F8VWF;CD209L CD209L1 CD299
8773	F8-VWF complex	Human	None	blood plasma	P00451;P04275	2157;;7450	MI:0071-molecular sieving;MI:0892-solid phase assay	GO:0007596;GO:1900046	blood coagulation;regulation of hemostasis	36.25.16.09	blood coagulation	7756647	In plasma, factor 8 is bound to von Willebrand factor (VWF), a glycoprotein that plays an essential role in hemostasis by promoting the attachment of platelets to the injured vessel wall. Complex formation was shown to protect factor 8 against inactivation by activated protein C, and activation and inactivation by factor 10a.	A deficiency of factor 8 results in hemophilia A, a bleeding disorder affecting 1 in 10,000 males.	None	Homo sapiens (Human);Homo sapiens (Human)	Coagulation factor VIII;von Willebrand factor	F8;VWF	F8C;F8VWF
8774	SNX1A-SNX2 complex	Human	None	human SNX expressed in COS7 cells	O60749-1;Q13596-2	6643;6642	MI:0019-coimmunoprecipitation	GO:0015031	protein transport	20.01.10	protein transport	9819414	SNX2 forms heteromeric complexes with SNX1, SNX1A, and SNX4 but not with SNX3.	None	SNX1A (457 aa) is a splice variant/isoform of SNX1 (522 aa); SNX2 (519 aa) = splice variant/isoform;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-2;Isoform 1A of Sorting nexin-1	SNX2;SNX1	None;None
8775	SNX2-SNX4 complex	Human	None	human SNX expressed in COS7 cells	O60749-1;O95219-1	6643;8723	MI:0019-coimmunoprecipitation	GO:0015031	protein transport	20.01.10	protein transport	9819414	SNX2 forms heteromeric complexes with SNX1, SNX1A, and SNX4 but not with SNX3.	None	SNX2 (519 aa) and SNX4 (450 aa) are splice variants/isoforms;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-2;Isoform 1 of Sorting nexin-4	SNX2;SNX4	None;None
8776	LEPR-SNX1A complex	Human	LEPR-B - SNX1A complex; LEPR (long isoform) - SNX1A complex	human SNX expressed in COS7 cells	P48357-1;Q13596-2	None;6642	MI:0019-coimmunoprecipitation	GO:0038021;GO:1990460	leptin receptor activity;leptin receptor binding	None	None	9819414	SNX1, SNX1A, SNX2, and SNX4 coimmunoprecipitated with the long form of the leptin receptor, but not with the short and medium isoforms. SNX3 was not found to associate with any of the receptors studied.	None	SNX1A (457 aa) is a splice variant/isoform of SNX1 (522 aa); LEPR B is the long splice variant/isoform of LEPR:	Homo sapiens (Human);Homo sapiens (Human)	Isoform B of Leptin receptor;Isoform 1A of Sorting nexin-1	LEPR;SNX1	DB OBR;None
8777	LEPR-SNX2 complex	Human	LEPR-B - SNX2 complex; LEPR (long isoform) - SNX2 complex	human SNX expressed in COS7 cells	O60749-1;P48357-1	6643;None	MI:0019-coimmunoprecipitation	GO:0038021;GO:1990460	leptin receptor activity;leptin receptor binding	None	None	9819414	SNX1, SNX1A, SNX2, and SNX4 coimmunoprecipitated with the long form of the leptin receptor. Association between SNX3 and hLR303 was not detected.	None	SNX2 (519 aa) = splice variant/isoform; LEPR B is the long splice variant/isoform of LEPR;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-2;Isoform B of Leptin receptor	SNX2;LEPR	None;DB OBR
8778	LEPR-SNX4 complex	Human	LEPR-B - SNX4 complex; LEPR (long isoform) - SNX4 complex	human SNX expressed in COS7 cells	O95219-1;P48357	8723;3953	MI:0019-coimmunoprecipitation	GO:0038021;GO:1990460	leptin receptor activity;leptin receptor binding	None	None	9819414	SNX1, SNX1A, SNX2, and SNX4 coimmunoprecipitated with the long form of the leptin receptor, but not with the short and medium isoforms. SNX3 was not found to associate with any of the receptors studied.	None	SNX4 (450 aa) = splice variant/isoform; LEPR B is the long splice variant/isoform of LEPR;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-4;Leptin receptor	SNX4;LEPR	None;DB, OBR
8779	INSR-SNX1A complex	Human	None	human SNX expressed in COS7 cells	P06213;Q13596-2	3643;6642	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005158;GO:0008286	insulin receptor binding;insulin receptor signaling pathway	30.05.01.12.05	insulin receptor signalling pathway	9819414	After incubation of cell extracts with an insulin receptor beta-subunit antibody followed by Western blotting of the precipitates with antibody to the epitope tag, it was found that SNX1, SNX1A, and SNX2 and small amounts of SNX4 coimmunoprecipitated with the insulin receptor.	None	SNX1A = splice variant/isoform of SNX1;	Homo sapiens (Human);Homo sapiens (Human)	Insulin receptor;Isoform 1A of Sorting nexin-1	INSR;SNX1	None;None
8780	INSR-SNX2 complex	Human	None	human SNX expressed in COS7 cells	O60749-1;P06213	6643;3643	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005158;GO:0008286	insulin receptor binding;insulin receptor signaling pathway	30.05.01.12.05	insulin receptor signalling pathway	9819414	After incubation of cell extracts with an insulin receptor beta-subunit antibody followed by Western blotting of the precipitates with antibody to the epitope tag, it was found that SNX1, SNX1A, and SNX2 and small amounts of SNX4 coimmunoprecipitated with the insulin receptor.	None	SNX2 = splice variant/isoform;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-2;Insulin receptor	SNX2;INSR	None;None
8781	INSR-SNX4 complex	Human	None	human SNX expressed in COS7 cells	O95219-1;P06213	8723;3643	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005158;GO:0008286	insulin receptor binding;insulin receptor signaling pathway	30.05.01.12.05	insulin receptor signalling pathway	9819414	After incubation of cell extracts with an insulin receptor beta-subunit antibody followed by Western blotting of the precipitates with antibody to the epitope tag, it was found that SNX1, SNX1A, and SNX2 and small amounts of SNX4 coimmunoprecipitated with the insulin receptor.	None	SNX4= splice variant/isoform;	Homo sapiens (Human);Homo sapiens (Human)	Isoform 1 of Sorting nexin-4;Insulin receptor	SNX4;INSR	None;None
8782	SNX1A-TFRC complex	Human	None	human SNX expressed in COS7 cells	P02786;Q13596-2	7037;6642	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0004998;GO:1990459	transferrin receptor activity;transferrin receptor binding	None	None	9819414	Only SNX1 and SNX1A coimmunoprecipitated with endogenous transferrin receptors. Association between endogenous transferrin receptors and SNX2, SNX3, or SNX4 were not detected.	None	SNX1A (457 aa) is a splice variant/isoform of SNX1 (522 aa);	Homo sapiens (Human);Homo sapiens (Human)	Transferrin receptor protein 1;Isoform 1A of Sorting nexin-1	TFRC;SNX1	None;None
8783	EGFR-SNX1A complex	Human	None	human SNX expressed in COS7 cells	P00533;Q13596-2	1956;6642	MI:0019-coimmunoprecipitation;MI:0113-western blot	GO:0005154;GO:0007173	epidermal growth factor receptor binding;epidermal growth factor receptor signaling pathway	30.05.01.12.01	EGF-receptor signalling pathway	9819414	In extracts from cells overexpressing EGF receptors and the various sorting nexins, it was found that SNX1 and SNX1A were readily detected in EGF receptor immunoprecipitates. SNX2 and SNX4 were detected, but to a lesser degree, and SNX3 was undetectable.	None	SNX1A is a splice variant/isoform of SNX1;	Homo sapiens (Human);Homo sapiens (Human)	Epidermal growth factor receptor;Isoform 1A of Sorting nexin-1	EGFR;SNX1	ERBB ERBB1 HER1;None
